name,rarity,planType,category,stamina,forceStamina,costType,costValue,playProduceExamTriggerId,playMovePositionType,moveEffectTriggerType,moveProduceExamEffectIds,isEndTurnLost,isInitial,isRestrict,produceCardStatusEnchantId,searchTag,libraryHidden,noDeckDuplication,unlockProducerLevel,rentalUnlockProducerLevel,evaluation,originIdolCardId,originSupportCardId,isInitialDeckProduceCard,effectGroupIds,viewStartTime,isLimited,order,produceExamTriggerId1,produceExamEffectId1,hideIcon1,produceExamTriggerId2,produceExamEffectId2,hideIcon2,produceExamTriggerId3,produceExamEffectId3,hideIcon3,produceExamTriggerId4,produceExamEffectId4,hideIcon4
眠気,N,フリー,トラブル,0,0,,0,,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,False,,0,0,0,,,False,[],0,False,13000010000002,,,,,,,,,,,,
アピールの基本,N,フリー,アクティブ,4,0,,0,,,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,starter,False,,0,0,0,,,True,['effect_group-visible-exam_lesson-000'],0,False,11000010000001,,e_effect-exam_lesson-0009-01,False,,,,,,,,,
アピールの基本+,N,フリー,アクティブ,3,0,,0,,,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,starter,False,,0,0,0,,,True,['effect_group-visible-exam_lesson-000'],0,False,11000010000001,,e_effect-exam_lesson-0014-01,False,,,,,,,,,
アピールの基本++,N,フリー,アクティブ,2,0,,0,,,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,starter,True,,0,0,0,,,True,['effect_group-visible-exam_lesson-000'],0,False,11000010000001,,e_effect-exam_lesson-0014-01,False,,,,,,,,,
アピールの基本+++,N,フリー,アクティブ,1,0,,0,,,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,starter,True,,0,0,0,,,True,['effect_group-visible-exam_lesson-000'],0,False,11000010000001,,e_effect-exam_lesson-0015-01,False,,,,,,,,,
ポーズの基本,N,フリー,アクティブ,3,0,,0,,,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,starter,False,,0,0,0,,,True,"['effect_group-visible-exam_lesson-000', 'effect_group-visible-exam_block-000']",0,False,11000010000002,,e_effect-exam_lesson-0002-01,False,,e_effect-exam_block-0002,False,,,,,,
ポーズの基本+,N,フリー,アクティブ,3,0,,0,,,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,starter,False,,0,0,0,,,True,"['effect_group-visible-exam_lesson-000', 'effect_group-visible-exam_block-000']",0,False,11000010000002,,e_effect-exam_lesson-0006-01,False,,e_effect-exam_block-0004,False,,,,,,
ポーズの基本++,N,フリー,アクティブ,3,0,,0,,,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,starter,True,,0,0,0,,,True,"['effect_group-visible-exam_lesson-000', 'effect_group-visible-exam_block-000']",0,False,11000010000002,,e_effect-exam_lesson-0008-01,False,,e_effect-exam_block-0005,False,,,,,,
ポーズの基本+++,N,フリー,アクティブ,3,0,,0,,,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,starter,True,,0,0,0,,,True,"['effect_group-visible-exam_lesson-000', 'effect_group-visible-exam_block-000']",0,False,11000010000002,,e_effect-exam_lesson-0010-01,False,,e_effect-exam_block-0006,False,,,,,,
前途洋々,SR,フリー,アクティブ,4,0,,0,,,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,False,,3,1,35,,,False,"['effect_group-visible-exam_lesson-000', 'effect_group-visible-exam_block-000']",0,False,31000030000009,,e_effect-exam_lesson-0008-01,False,,e_effect-exam_block-0007,False,,,,,,
前途洋々+,SR,フリー,アクティブ,4,0,,0,,,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,False,,3,1,47,,,False,"['effect_group-visible-exam_lesson-000', 'effect_group-visible-exam_block-000']",0,False,31000030000009,,e_effect-exam_lesson-0012-01,False,,e_effect-exam_block-0010,False,,,,,,
前途洋々++,SR,フリー,アクティブ,3,0,,0,,,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,True,,3,1,0,,,False,"['effect_group-visible-exam_lesson-000', 'effect_group-visible-exam_block-000']",0,False,31000030000009,,e_effect-exam_lesson-0013-01,False,,e_effect-exam_block-0010,False,,,,,,
前途洋々+++,SR,フリー,アクティブ,2,0,,0,,,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,True,,3,1,0,,,False,"['effect_group-visible-exam_lesson-000', 'effect_group-visible-exam_block-000']",0,False,31000030000009,,e_effect-exam_lesson-0013-01,False,,e_effect-exam_block-0010,False,,,,,,
表現の基本,N,フリー,メンタル,0,0,,0,,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,starter,False,,0,0,0,,,True,['effect_group-visible-exam_block-000'],0,False,12000010000003,,e_effect-exam_block-0004,False,,,,,,,,,
表現の基本+,N,フリー,メンタル,0,0,,0,,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,starter,False,,0,0,0,,,True,['effect_group-visible-exam_block-000'],0,False,12000010000003,,e_effect-exam_block-0007,False,,,,,,,,,
表現の基本++,N,フリー,メンタル,0,0,,0,,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,starter,True,,0,0,0,,,True,['effect_group-visible-exam_block-000'],0,False,12000010000003,,e_effect-exam_block-0008,False,,,,,,,,,
表現の基本+++,N,フリー,メンタル,0,0,,0,,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,starter,True,,0,0,0,,,True,['effect_group-visible-exam_block-000'],0,False,12000010000003,,e_effect-exam_block-0010,False,,,,,,,,,
気合十分！,R,フリー,メンタル,0,0,,0,,,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,False,,16,15,15,,,False,"['effect_group-visible-exam_block-000', 'effect_group-visible-exam_stamina_consumption_down-000']",0,False,22000160000005,,e_effect-exam_block-0002,False,,e_effect-exam_stamina_consumption_down-02,False,,,,,,
気合十分！+,R,フリー,メンタル,0,0,,0,,,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,False,,16,15,20,,,False,"['effect_group-visible-exam_block-000', 'effect_group-visible-exam_stamina_consumption_down-000']",0,False,22000160000005,,e_effect-exam_block-0002,False,,e_effect-exam_stamina_consumption_down-03,False,,,,,,
気合十分！++,R,フリー,メンタル,0,0,,0,,,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,True,,16,15,0,,,False,"['effect_group-visible-exam_block-000', 'effect_group-visible-exam_stamina_consumption_down-000']",0,False,22000160000005,,e_effect-exam_block-0004,False,,e_effect-exam_stamina_consumption_down-03,False,,,,,,
気合十分！+++,R,フリー,メンタル,0,0,,0,,,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,True,,16,15,0,,,False,"['effect_group-visible-exam_block-000', 'effect_group-visible-exam_stamina_consumption_down-000']",0,False,22000160000005,,e_effect-exam_block-0006,False,,e_effect-exam_stamina_consumption_down-03,False,,,,,,
ファーストステップ,R,フリー,メンタル,0,0,,0,,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,False,デッキ内1枚,16,15,15,,,False,"['effect_group-visible-exam_block-000', 'effect_group-visible-exam_stamina_consumption_down_fix-000']",0,False,22000160000007,,e_effect-exam_block-0003,False,e_trigger-exam_card_play-stamina_up_multiple-500,e_effect-exam_stamina_consumption_down_fix-0001-inf,False,,,,,,
ファーストステップ+,R,フリー,メンタル,0,0,,0,,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,False,デッキ内1枚,16,15,20,,,False,"['effect_group-visible-exam_block-000', 'effect_group-visible-exam_stamina_consumption_down_fix-000']",0,False,22000160000007,,e_effect-exam_block-0006,False,e_trigger-exam_card_play-stamina_up_multiple-500,e_effect-exam_stamina_consumption_down_fix-0001-inf,False,,,,,,
ファーストステップ++,R,フリー,メンタル,0,0,,0,,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,True,デッキ内1枚,16,15,0,,,False,"['effect_group-visible-exam_block-000', 'effect_group-visible-exam_stamina_consumption_down_fix-000']",0,False,22000160000007,,e_effect-exam_block-0008,False,e_trigger-exam_card_play-stamina_up_multiple-500,e_effect-exam_stamina_consumption_down_fix-0001-inf,False,,,,,,
ファーストステップ+++,R,フリー,メンタル,0,0,,0,,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,True,デッキ内1枚,16,15,0,,,False,"['effect_group-visible-exam_block-000', 'effect_group-visible-exam_stamina_consumption_down_fix-000']",0,False,22000160000007,,e_effect-exam_block-0009,False,e_trigger-exam_card_play-stamina_up_multiple-500,e_effect-exam_stamina_consumption_down_fix-0001-inf,False,,,,,,
アイドル宣言,SR,フリー,メンタル,0,1,,0,,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,False,デッキ内1枚,23,20,35,,,False,"['effect_group-visible-exam_card_draw-000', 'effect_group-visible-exam_playable_value_add-000']",0,False,32000230000012,,e_effect-exam_playable_value_add-01,False,,e_effect-exam_card_draw-0002,False,,,,,,
