rarity,type,name,supportCardOrder,produceSkillOrder,supportCardLevel,text,produceEffectId1,produceTriggerId1,activationRatePermil1,produceEffectId2,produceTriggerId2,activationRatePermil2,produceEffectId3,produceTriggerId3,activationRatePermil3,Effectbuf,Eventbuf1,Eventeffect1,Eventbuf2,Eventeffect2,itemcard,EventproduceEffectIds1,EventproduceEffectIds2,EventproduceEffectIds3,produceStoryIds1,produceStoryText1,produceitemText1,producecardText1,producecardType1,produceStoryIds2,produceStoryText2,produceitemText2,producecardText2,producecardType2,produceStoryIds3,produceStoryText3,produceitemText3,producecardText3,producecardType3,produceStoryIds4,produceStoryText4,produceitemText4,producecardText4,producecardType4
R,ビジュアル,念入りにストレッチ,3999900001,1,1,初期ビジュアル上昇+ 12,ビジュアル,初期値,0,,,0,,,0,12,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,1,5,初期ビジュアル上昇+ 15,ビジュアル,初期値,0,,,0,,,0,15,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,1,10,初期ビジュアル上昇+ 18,ビジュアル,初期値,0,,,0,,,0,18,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,1,15,初期ビジュアル上昇+ 20,ビジュアル,初期値,0,,,0,,,0,20,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,1,20,初期ビジュアル上昇+ 22,ビジュアル,初期値,0,,,0,,,0,22,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,1,25,初期ビジュアル上昇+ 24,ビジュアル,初期値,0,,,0,,,0,24,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,1,30,初期ビジュアル上昇+ 26,ビジュアル,初期値,0,,,0,,,0,26,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,1,35,初期ビジュアル上昇+ 28,ビジュアル,初期値,0,,,0,,,0,28,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,1,40,初期ビジュアル上昇+ 30,ビジュアル,初期値,0,,,0,,,0,30,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,2,5,ビジュアルレッスン終了時、ビジュアル上昇+ 1,ビジュアル,ビジュアルレッスン,0,,,0,,,0,1,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
